Sim,BFS_Nodos,BFS_Tiempo,BFS_Longitud,DFS_Nodos,DFS_Tiempo,DFS_Longitud,Dijkstra_Nodos,Dijkstra_Tiempo,Dijkstra_Longitud,A*_Nodos,A*_Tiempo,A*_Longitud,Rank_BFS,Rank_Dijkstra,Rank_A*,Rank_DFS
1,326,0.0,23,940,0.015509843826293945,339,326,0.0,23,49,0.0,23,1,2,3,4
2,681,0.015623331069946289,27,640,0.0,377,668,0.0,27,143,0.0,27,4,2,3,1
3,1355,0.015623331069946289,62,283,0.0,134,1351,0.015625953674316406,62,485,0.0,62,3,4,2,1
4,178,0.0,18,414,0.0,220,179,0.015624284744262695,18,44,0.0,18,1,4,3,2
5,1554,0.0,74,639,0.015625,312,1552,0.0,74,573,0.015625,74,1,2,4,3
6,1222,0.0,46,311,0.015625715255737305,146,1232,0.0,46,359,0.0,46,1,2,3,4
7,1096,0.0,39,1650,0.031252145767211914,55,1096,0.015624046325683594,39,144,0.0,39,1,3,2,4
8,188,0.0,23,1392,0.015623092651367188,203,184,0.0,23,55,0.0,23,1,2,3,4
9,1566,0.01913619041442871,82,1102,0.007569074630737305,380,1553,0.02000737190246582,82,787,0.007548093795776367,82,3,4,1,2
10,1115,0.006979703903198242,56,294,0.002000570297241211,182,1116,0.009822845458984375,56,226,0.0019981861114501953,56,3,4,1,2
11,1678,0.0040509700775146484,73,886,0.0,319,1679,0.01566910743713379,73,728,0.015624284744262695,73,2,4,3,1
12,885,0.0,31,402,0.0,215,874,0.01562809944152832,31,149,0.0,31,1,4,3,2
13,621,0.0,49,1449,0.0156252384185791,179,617,0.0,49,134,0.0,49,1,2,3,4
14,684,0.0,36,546,0.0,238,702,0.015620946884155273,36,111,0.0,36,1,4,3,2
15,679,0.0,27,1025,0.01562809944152832,177,695,0.0,27,136,0.0,27,1,2,3,4
16,1646,0.01562190055847168,85,1126,0.0,335,1646,0.026079177856445312,85,553,0.006003141403198242,85,3,4,2,1
17,463,0.003005504608154297,27,530,0.002995729446411133,309,466,0.004256248474121094,27,80,0.0009980201721191406,27,3,4,1,2
18,1088,0.006999969482421875,46,863,0.005244255065917969,294,1090,0.009046077728271484,46,286,0.001993417739868164,46,3,4,1,2
19,549,0.003372669219970703,29,1236,0.0,165,537,0.015627622604370117,29,165,0.0,29,3,4,2,1
20,153,0.0,13,296,0.0,227,139,0.0,13,35,0.0,13,1,3,4,2
21,511,0.015665054321289062,30,1595,0.015587091445922852,30,486,0.0,30,120,0.0,30,4,1,2,3
22,1427,0.01566338539123535,67,485,0.0,211,1429,0.015584230422973633,67,218,0.015625,67,4,2,3,1
23,232,0.0,15,797,0.0,385,212,0.0,15,24,0.0,15,1,3,4,2
24,524,0.0,28,1630,0.015636682510375977,36,515,0.0,28,73,0.0,28,1,2,3,4
25,297,0.0,39,236,0.0,69,295,0.01563096046447754,39,163,0.0,39,1,4,3,2
